"Statistic Label","CensusYear","County","Sex","UNIT","VALUE"
"Population at Each Census","1841","Monaghan","Female","Number","102371"
"Population at Each Census","1851","State","Both sexes","Number","5111557"
"Population at Each Census","1851","State","Male","Number","2494478"
"Population at Each Census","1851","State","Female","Number","2617079"
"Population at Each Census","1851","Carlow","Both sexes","Number","68078"
"Population at Each Census","1851","Carlow","Male","Number","33016"
"Population at Each Census","1851","Carlow","Female","Number","35062"
"Population at Each Census","1851","Dublin","Both sexes","Number","405147"
"Population at Each Census","1851","Dublin","Male","Number","187286"
"Population at Each Census","1851","Dublin","Female","Number","217861"
"Population at Each Census","1851","Kildare","Both sexes","Number","95723"
"Population at Each Census","1851","Kildare","Male","Number","48528"
"Population at Each Census","1851","Kildare","Female","Number","47195"
"Population at Each Census","1851","Kilkenny","Both sexes","Number","158748"
"Population at Each Census","1851","Kilkenny","Male","Number","76493"
"Population at Each Census","1851","Kilkenny","Female","Number","82255"
"Population at Each Census","1851","Laois","Both sexes","Number","111664"
"Population at Each Census","1851","Laois","Male","Number","55556"
"Population at Each Census","1851","Laois","Female","Number","56108"
"Population at Each Census","1851","Longford","Both sexes","Number","82348"
"Population at Each Census","1851","Longford","Male","Number","41041"
"Population at Each Census","1851","Longford","Female","Number","41307"
"Population at Each Census","1851","Louth","Both sexes","Number","107662"
"Population at Each Census","1851","Louth","Male","Number","52257"
"Population at Each Census","1851","Louth","Female","Number","55405"
"Population at Each Census","1851","Meath","Both sexes","Number","140748"
"Population at Each Census","1851","Meath","Male","Number","70813"
"Population at Each Census","1851","Meath","Female","Number","69935"
"Population at Each Census","1851","Offaly","Both sexes","Number","112076"
"Population at Each Census","1851","Offaly","Male","Number","55284"
"Population at Each Census","1851","Offaly","Female","Number","56792"
"Population at Each Census","1851","Westmeath","Both sexes","Number","111407"
"Population at Each Census","1851","Westmeath","Male","Number","56095"
"Population at Each Census","1851","Westmeath","Female","Number","55312"
"Population at Each Census","1851","Wexford","Both sexes","Number","180158"
"Population at Each Census","1851","Wexford","Male","Number","86938"
"Population at Each Census","1851","Wexford","Female","Number","93220"
"Population at Each Census","1851","Wicklow","Both sexes","Number","98979"
"Population at Each Census","1851","Wicklow","Male","Number","50230"
"Population at Each Census","1851","Wicklow","Female","Number","48749"
"Population at Each Census","1851","Clare","Both sexes","Number","212440"
"Population at Each Census","1851","Clare","Male","Number","103953"
"Population at Each Census","1851","Clare","Female","Number","108487"
"Population at Each Census","1851","Cork","Both sexes","Number","649308"
"Population at Each Census","1851","Cork","Male","Number","318149"
"Population at Each Census","1851","Cork","Female","Number","331159"
"Population at Each Census","1851","Kerry","Both sexes","Number","238254"
"Population at Each Census","1851","Kerry","Male","Number","116511"
"Population at Each Census","1851","Kerry","Female","Number","121743"
"Population at Each Census","1851","Limerick","Both sexes","Number","262132"
"Population at Each Census","1851","Limerick","Male","Number","127387"
"Population at Each Census","1851","Limerick","Female","Number","134745"
"Population at Each Census","1851","Tipperary","Both sexes","Number","331567"
"Population at Each Census","1851","Tipperary","Male","Number","160024"
"Population at Each Census","1851","Tipperary","Female","Number","171543"
"Population at Each Census","1851","Waterford","Both sexes","Number","164035"
"Population at Each Census","1851","Waterford","Male","Number","78955"
"Population at Each Census","1851","Waterford","Female","Number","85080"
"Population at Each Census","1851","Galway","Both sexes","Number","321684"
"Population at Each Census","1851","Galway","Male","Number","157135"
"Population at Each Census","1851","Galway","Female","Number","164549"
"Population at Each Census","1851","Leitrim","Both sexes","Number","111897"
"Population at Each Census","1851","Leitrim","Male","Number","56111"
"Population at Each Census","1851","Leitrim","Female","Number","55786"
"Population at Each Census","1851","Mayo","Both sexes","Number","274499"
"Population at Each Census","1851","Mayo","Male","Number","133264"
"Population at Each Census","1851","Mayo","Female","Number","141235"
"Population at Each Census","1851","Roscommon","Both sexes","Number","173436"
"Population at Each Census","1851","Roscommon","Male","Number","86411"
"Population at Each Census","1851","Roscommon","Female","Number","87025"
"Population at Each Census","1851","Sligo","Both sexes","Number","128515"
"Population at Each Census","1851","Sligo","Male","Number","62881"
"Population at Each Census","1851","Sligo","Female","Number","65634"
"Population at Each Census","1851","Cavan","Both sexes","Number","174071"
"Population at Each Census","1851","Cavan","Male","Number","86610"
"Population at Each Census","1851","Cavan","Female","Number","87461"
"Population at Each Census","1851","Donegal","Both sexes","Number","255158"
"Population at Each Census","1851","Donegal","Male","Number","124723"
"Population at Each Census","1851","Donegal","Female","Number","130435"
"Population at Each Census","1851","Monaghan","Both sexes","Number","141823"
"Population at Each Census","1851","Monaghan","Male","Number","68827"
"Population at Each Census","1851","Monaghan","Female","Number","72996"
"Population at Each Census","1861","State","Both sexes","Number","4402111"
"Population at Each Census","1861","State","Male","Number","2169042"
"Population at Each Census","1861","State","Female","Number","2233069"
"Population at Each Census","1861","Carlow","Both sexes","Number","57137"
"Population at Each Census","1861","Carlow","Male","Number","28139"
"Population at Each Census","1861","Carlow","Female","Number","28998"
"Population at Each Census","1861","Dublin","Both sexes","Number","410252"
"Population at Each Census","1861","Dublin","Male","Number","191435"
"Population at Each Census","1861","Dublin","Female","Number","218817"
"Population at Each Census","1861","Kildare","Both sexes","Number","90946"
"Population at Each Census","1861","Kildare","Male","Number","48960"
"Population at Each Census","1861","Kildare","Female","Number","41986"
"Population at Each Census","1861","Kilkenny","Both sexes","Number","124515"
"Population at Each Census","1861","Kilkenny","Male","Number","60317"
"Population at Each Census","1861","Kilkenny","Female","Number","64198"
"Population at Each Census","1861","Laois","Both sexes","Number","90650"
"Population at Each Census","1861","Laois","Male","Number","45112"
"Population at Each Census","1861","Laois","Female","Number","45538"
"Population at Each Census","1861","Longford","Both sexes","Number","71694"
"Population at Each Census","1861","Longford","Male","Number","36044"
"Population at Each Census","1861","Longford","Female","Number","35650"
"Population at Each Census","1861","Louth","Both sexes","Number","90713"
"Population at Each Census","1861","Louth","Male","Number","44241"
"Population at Each Census","1861","Louth","Female","Number","46472"
"Population at Each Census","1861","Meath","Both sexes","Number","110373"
"Population at Each Census","1861","Meath","Male","Number","55800"
"Population at Each Census","1861","Meath","Female","Number","54573"
"Population at Each Census","1861","Offaly","Both sexes","Number","90043"
"Population at Each Census","1861","Offaly","Male","Number","45513"
"Population at Each Census","1861","Offaly","Female","Number","44530"
"Population at Each Census","1861","Westmeath","Both sexes","Number","90879"
"Population at Each Census","1861","Westmeath","Male","Number","46218"
"Population at Each Census","1861","Westmeath","Female","Number","44661"
"Population at Each Census","1861","Wexford","Both sexes","Number","143954"
"Population at Each Census","1861","Wexford","Male","Number","69104"
"Population at Each Census","1861","Wexford","Female","Number","74850"
"Population at Each Census","1861","Wicklow","Both sexes","Number","86479"
"Population at Each Census","1861","Wicklow","Male","Number","44122"
"Population at Each Census","1861","Wicklow","Female","Number","42357"
"Population at Each Census","1861","Clare","Both sexes","Number","166305"
"Population at Each Census","1861","Clare","Male","Number","82541"
"Population at Each Census","1861","Clare","Female","Number","83764"
"Population at Each Census","1861","Cork","Both sexes","Number","544818"
"Population at Each Census","1861","Cork","Male","Number","269637"
"Population at Each Census","1861","Cork","Female","Number","275181"
"Population at Each Census","1861","Kerry","Both sexes","Number","201800"
"Population at Each Census","1861","Kerry","Male","Number","99999"
"Population at Each Census","1861","Kerry","Female","Number","101801"
"Population at Each Census","1861","Limerick","Both sexes","Number","217277"
"Population at Each Census","1861","Limerick","Male","Number","105712"
"Population at Each Census","1861","Limerick","Female","Number","111565"
"Population at Each Census","1861","Tipperary","Both sexes","Number","249106"
"Population at Each Census","1861","Tipperary","Male","Number","122483"
"Population at Each Census","1861","Tipperary","Female","Number","126623"
"Population at Each Census","1861","Waterford","Both sexes","Number","134252"
"Population at Each Census","1861","Waterford","Male","Number","64310"
"Population at Each Census","1861","Waterford","Female","Number","69942"
"Population at Each Census","1861","Galway","Both sexes","Number","271478"
"Population at Each Census","1861","Galway","Male","Number","134057"
"Population at Each Census","1861","Galway","Female","Number","137421"
"Population at Each Census","1861","Leitrim","Both sexes","Number","104744"
"Population at Each Census","1861","Leitrim","Male","Number","52562"
"Population at Each Census","1861","Leitrim","Female","Number","52182"
"Population at Each Census","1861","Mayo","Both sexes","Number","254796"
"Population at Each Census","1861","Mayo","Male","Number","125636"
"Population at Each Census","1861","Mayo","Female","Number","129160"
"Population at Each Census","1861","Roscommon","Both sexes","Number","157272"
"Population at Each Census","1861","Roscommon","Male","Number","79841"
"Population at Each Census","1861","Roscommon","Female","Number","77431"
"Population at Each Census","1861","Sligo","Both sexes","Number","124845"
"Population at Each Census","1861","Sligo","Male","Number","61939"
"Population at Each Census","1861","Sligo","Female","Number","62906"
"Population at Each Census","1861","Cavan","Both sexes","Number","153906"
"Population at Each Census","1861","Cavan","Male","Number","77503"
"Population at Each Census","1861","Cavan","Female","Number","76403"
"Population at Each Census","1861","Donegal","Both sexes","Number","237395"
"Population at Each Census","1861","Donegal","Male","Number","115875"
"Population at Each Census","1861","Donegal","Female","Number","121520"
"Population at Each Census","1861","Monaghan","Both sexes","Number","126482"
"Population at Each Census","1861","Monaghan","Male","Number","61942"
"Population at Each Census","1861","Monaghan","Female","Number","64540"
"Population at Each Census","1871","State","Both sexes","Number","4053187"
"Population at Each Census","1871","State","Male","Number","1992468"
"Population at Each Census","1871","State","Female","Number","2060719"
"Population at Each Census","1871","Carlow","Both sexes","Number","51650"
"Population at Each Census","1871","Carlow","Male","Number","25464"
"Population at Each Census","1871","Carlow","Female","Number","26186"
"Population at Each Census","1871","Dublin","Both sexes","Number","405262"
"Population at Each Census","1871","Dublin","Male","Number","188108"
"Population at Each Census","1871","Dublin","Female","Number","217154"
"Population at Each Census","1871","Kildare","Both sexes","Number","83614"
"Population at Each Census","1871","Kildare","Male","Number","44946"
"Population at Each Census","1871","Kildare","Female","Number","38668"
"Population at Each Census","1871","Kilkenny","Both sexes","Number","109379"
"Population at Each Census","1871","Kilkenny","Male","Number","52965"
"Population at Each Census","1871","Kilkenny","Female","Number","56414"
"Population at Each Census","1871","Laois","Both sexes","Number","79771"
"Population at Each Census","1871","Laois","Male","Number","39843"
"Population at Each Census","1871","Laois","Female","Number","39928"
"Population at Each Census","1871","Longford","Both sexes","Number","64501"
"Population at Each Census","1871","Longford","Male","Number","32512"
"Population at Each Census","1871","Longford","Female","Number","31989"
"Population at Each Census","1871","Louth","Both sexes","Number","84021"
"Population at Each Census","1871","Louth","Male","Number","41033"
"Population at Each Census","1871","Louth","Female","Number","42988"
"Population at Each Census","1871","Meath","Both sexes","Number","95558"
"Population at Each Census","1871","Meath","Male","Number","48437"
"Population at Each Census","1871","Meath","Female","Number","47121"
"Population at Each Census","1871","Offaly","Both sexes","Number","75900"
"Population at Each Census","1871","Offaly","Male","Number","38307"
"Population at Each Census","1871","Offaly","Female","Number","37593"
"Population at Each Census","1871","Westmeath","Both sexes","Number","78432"
"Population at Each Census","1871","Westmeath","Male","Number","39804"
"Population at Each Census","1871","Westmeath","Female","Number","38628"
"Population at Each Census","1871","Wexford","Both sexes","Number","132666"
"Population at Each Census","1871","Wexford","Male","Number","64199"
"Population at Each Census","1871","Wexford","Female","Number","68467"
"Population at Each Census","1871","Wicklow","Both sexes","Number","78697"
"Population at Each Census","1871","Wicklow","Male","Number","39496"
"Population at Each Census","1871","Wicklow","Female","Number","39201"
"Population at Each Census","1871","Clare","Both sexes","Number","147864"
"Population at Each Census","1871","Clare","Male","Number","73442"
"Population at Each Census","1871","Clare","Female","Number","74422"
"Population at Each Census","1871","Cork","Both sexes","Number","517076"
"Population at Each Census","1871","Cork","Male","Number","256062"
"Population at Each Census","1871","Cork","Female","Number","261014"
"Population at Each Census","1871","Kerry","Both sexes","Number","196586"
"Population at Each Census","1871","Kerry","Male","Number","97913"
"Population at Each Census","1871","Kerry","Female","Number","98673"
"Population at Each Census","1871","Limerick","Both sexes","Number","191936"
"Population at Each Census","1871","Limerick","Male","Number","93112"
"Population at Each Census","1871","Limerick","Female","Number","98824"
"Population at Each Census","1871","Tipperary","Both sexes","Number","216713"
"Population at Each Census","1871","Tipperary","Male","Number","106499"
"Population at Each Census","1871","Tipperary","Female","Number","110214"
"Population at Each Census","1871","Waterford","Both sexes","Number","123310"
"Population at Each Census","1871","Waterford","Male","Number","59078"
"Population at Each Census","1871","Waterford","Female","Number","64232"
"Population at Each Census","1871","Galway","Both sexes","Number","248458"
"Population at Each Census","1871","Galway","Male","Number","122496"
"Population at Each Census","1871","Galway","Female","Number","125962"
"Population at Each Census","1871","Leitrim","Both sexes","Number","95562"
"Population at Each Census","1871","Leitrim","Male","Number","47724"
"Population at Each Census","1871","Leitrim","Female","Number","47838"
"Population at Each Census","1871","Mayo","Both sexes","Number","246030"
"Population at Each Census","1871","Mayo","Male","Number","120877"
"Population at Each Census","1871","Mayo","Female","Number","125153"
"Population at Each Census","1871","Roscommon","Both sexes","Number","140670"
"Population at Each Census","1871","Roscommon","Male","Number","70647"
"Population at Each Census","1871","Roscommon","Female","Number","70023"
"Population at Each Census","1871","Sligo","Both sexes","Number","115493"
"Population at Each Census","1871","Sligo","Male","Number","56984"
"Population at Each Census","1871","Sligo","Female","Number","58509"
"Population at Each Census","1871","Cavan","Both sexes","Number","140735"
"Population at Each Census","1871","Cavan","Male","Number","70479"
"Population at Each Census","1871","Cavan","Female","Number","70256"
"Population at Each Census","1871","Donegal","Both sexes","Number","218334"
"Population at Each Census","1871","Donegal","Male","Number","106080"
"Population at Each Census","1871","Donegal","Female","Number","112254"
"Population at Each Census","1871","Monaghan","Both sexes","Number","114969"
"Population at Each Census","1871","Monaghan","Male","Number","55961"
"Population at Each Census","1871","Monaghan","Female","Number","59008"
"Population at Each Census","1881","State","Both sexes","Number","3870020"
"Population at Each Census","1881","State","Male","Number","1912438"
"Population at Each Census","1881","State","Female","Number","1957582"
"Population at Each Census","1881","Carlow","Both sexes","Number","46568"
"Population at Each Census","1881","Carlow","Male","Number","23078"
"Population at Each Census","1881","Carlow","Female","Number","23490"
"Population at Each Census","1881","Dublin","Both sexes","Number","418910"
"Population at Each Census","1881","Dublin","Male","Number","197740"
"Population at Each Census","1881","Dublin","Female","Number","221170"
"Population at Each Census","1881","Kildare","Both sexes","Number","75804"
"Population at Each Census","1881","Kildare","Male","Number","40701"
"Population at Each Census","1881","Kildare","Female","Number","35103"
"Population at Each Census","1881","Kilkenny","Both sexes","Number","99531"
"Population at Each Census","1881","Kilkenny","Male","Number","48971"
"Population at Each Census","1881","Kilkenny","Female","Number","50560"
"Population at Each Census","1881","Laois","Both sexes","Number","73124"
"Population at Each Census","1881","Laois","Male","Number","36861"
"Population at Each Census","1881","Laois","Female","Number","36263"
"Population at Each Census","1881","Longford","Both sexes","Number","61009"
"Population at Each Census","1881","Longford","Male","Number","30770"
"Population at Each Census","1881","Longford","Female","Number","30239"
"Population at Each Census","1881","Louth","Both sexes","Number","77684"
"Population at Each Census","1881","Louth","Male","Number","37989"
"Population at Each Census","1881","Louth","Female","Number","39695"
"Population at Each Census","1881","Meath","Both sexes","Number","87469"
"Population at Each Census","1881","Meath","Male","Number","44315"
"Population at Each Census","1881","Meath","Female","Number","43154"
"Population at Each Census","1881","Offaly","Both sexes","Number","72852"
"Population at Each Census","1881","Offaly","Male","Number","37106"
"Population at Each Census","1881","Offaly","Female","Number","35746"
"Population at Each Census","1881","Westmeath","Both sexes","Number","71798"
"Population at Each Census","1881","Westmeath","Male","Number","36478"
"Population at Each Census","1881","Westmeath","Female","Number","35320"
"Population at Each Census","1881","Wexford","Both sexes","Number","123854"
"Population at Each Census","1881","Wexford","Male","Number","60928"
"Population at Each Census","1881","Wexford","Female","Number","62926"
"Population at Each Census","1881","Wicklow","Both sexes","Number","70386"
"Population at Each Census","1881","Wicklow","Male","Number","35101"
"Population at Each Census","1881","Wicklow","Female","Number","35285"
"Population at Each Census","1881","Clare","Both sexes","Number","141457"
"Population at Each Census","1881","Clare","Male","Number","71058"
"Population at Each Census","1881","Clare","Female","Number","70399"
"Population at Each Census","1881","Cork","Both sexes","Number","495607"
"Population at Each Census","1881","Cork","Male","Number","246044"
"Population at Each Census","1881","Cork","Female","Number","249563"
"Population at Each Census","1881","Kerry","Both sexes","Number","201039"
"Population at Each Census","1881","Kerry","Male","Number","101208"
"Population at Each Census","1881","Kerry","Female","Number","99831"
"Population at Each Census","1881","Limerick","Both sexes","Number","180632"
"Population at Each Census","1881","Limerick","Male","Number","88311"
"Population at Each Census","1881","Limerick","Female","Number","92321"
"Population at Each Census","1881","Tipperary","Both sexes","Number","199612"
"Population at Each Census","1881","Tipperary","Male","Number","98755"
"Population at Each Census","1881","Tipperary","Female","Number","100857"
"Population at Each Census","1881","Waterford","Both sexes","Number","112768"
"Population at Each Census","1881","Waterford","Male","Number","54618"
"Population at Each Census","1881","Waterford","Female","Number","58150"
"Population at Each Census","1881","Galway","Both sexes","Number","242005"
"Population at Each Census","1881","Galway","Male","Number","120609"
"Population at Each Census","1881","Galway","Female","Number","121396"
"Population at Each Census","1881","Leitrim","Both sexes","Number","90372"
"Population at Each Census","1881","Leitrim","Male","Number","45190"
"Population at Each Census","1881","Leitrim","Female","Number","45182"
"Population at Each Census","1881","Mayo","Both sexes","Number","245212"
"Population at Each Census","1881","Mayo","Male","Number","119421"
"Population at Each Census","1881","Mayo","Female","Number","125791"
"Population at Each Census","1881","Roscommon","Both sexes","Number","132490"
"Population at Each Census","1881","Roscommon","Male","Number","66657"
"Population at Each Census","1881","Roscommon","Female","Number","65833"
"Population at Each Census","1881","Sligo","Both sexes","Number","111578"
"Population at Each Census","1881","Sligo","Male","Number","55144"
"Population at Each Census","1881","Sligo","Female","Number","56434"
"Population at Each Census","1881","Cavan","Both sexes","Number","129476"
"Population at Each Census","1881","Cavan","Male","Number","64637"
"Population at Each Census","1881","Cavan","Female","Number","64839"
"Population at Each Census","1881","Donegal","Both sexes","Number","206035"
"Population at Each Census","1881","Donegal","Male","Number","100671"
"Population at Each Census","1881","Donegal","Female","Number","105364"
"Population at Each Census","1881","Monaghan","Both sexes","Number","102748"
"Population at Each Census","1881","Monaghan","Male","Number","50077"
"Population at Each Census","1881","Monaghan","Female","Number","52671"
"Population at Each Census","1891","State","Both sexes","Number","3468694"
"Population at Each Census","1891","State","Male","Number","1728601"
"Population at Each Census","1891","State","Female","Number","1740093"
"Population at Each Census","1891","Carlow","Both sexes","Number","40936"
"Population at Each Census","1891","Carlow","Male","Number","20552"
"Population at Each Census","1891","Carlow","Female","Number","20384"
"Population at Each Census","1891","Dublin","Both sexes","Number","419216"
"Population at Each Census","1891","Dublin","Male","Number","197409"
"Population at Each Census","1891","Dublin","Female","Number","221807"
"Population at Each Census","1891","Kildare","Both sexes","Number","70206"
"Population at Each Census","1891","Kildare","Male","Number","38407"
"Population at Each Census","1891","Kildare","Female","Number","31799"
"Population at Each Census","1891","Kilkenny","Both sexes","Number","87261"
"Population at Each Census","1891","Kilkenny","Male","Number","43468"
"Population at Each Census","1891","Kilkenny","Female","Number","43793"
"Population at Each Census","1891","Laois","Both sexes","Number","64883"
"Population at Each Census","1891","Laois","Male","Number","33171"
"Population at Each Census","1891","Laois","Female","Number","31712"
"Population at Each Census","1891","Longford","Both sexes","Number","52647"
"Population at Each Census","1891","Longford","Male","Number","26681"
"Population at Each Census","1891","Longford","Female","Number","25966"
"Population at Each Census","1891","Louth","Both sexes","Number","71038"
"Population at Each Census","1891","Louth","Male","Number","35242"
"Population at Each Census","1891","Louth","Female","Number","35796"
"Population at Each Census","1891","Meath","Both sexes","Number","76987"
"Population at Each Census","1891","Meath","Male","Number","39224"
"Population at Each Census","1891","Meath","Female","Number","37763"
"Population at Each Census","1891","Offaly","Both sexes","Number","65563"
"Population at Each Census","1891","Offaly","Male","Number","33777"
"Population at Each Census","1891","Offaly","Female","Number","31786"
"Population at Each Census","1891","Westmeath","Both sexes","Number","65109"
"Population at Each Census","1891","Westmeath","Male","Number","33927"
"Population at Each Census","1891","Westmeath","Female","Number","31182"
"Population at Each Census","1891","Wexford","Both sexes","Number","111778"
"Population at Each Census","1891","Wexford","Male","Number","54935"
"Population at Each Census","1891","Wexford","Female","Number","56843"
"Population at Each Census","1891","Wicklow","Both sexes","Number","62136"
"Population at Each Census","1891","Wicklow","Male","Number","31054"
"Population at Each Census","1891","Wicklow","Female","Number","31082"
"Population at Each Census","1891","Clare","Both sexes","Number","124483"
"Population at Each Census","1891","Clare","Male","Number","63138"
"Population at Each Census","1891","Clare","Female","Number","61345"
"Population at Each Census","1891","Cork","Both sexes","Number","438432"
"Population at Each Census","1891","Cork","Male","Number","219988"
"Population at Each Census","1891","Cork","Female","Number","218444"
"Population at Each Census","1891","Kerry","Both sexes","Number","179136"
"Population at Each Census","1891","Kerry","Male","Number","91017"
"Population at Each Census","1891","Kerry","Female","Number","88119"
"Population at Each Census","1891","Limerick","Both sexes","Number","158912"
"Population at Each Census","1891","Limerick","Male","Number","78607"
"Population at Each Census","1891","Limerick","Female","Number","80305"
"Population at Each Census","1891","Tipperary","Both sexes","Number","173188"
"Population at Each Census","1891","Tipperary","Male","Number","86807"
"Population at Each Census","1891","Tipperary","Female","Number","86381"
"Population at Each Census","1891","Waterford","Both sexes","Number","98251"
"Population at Each Census","1891","Waterford","Male","Number","48054"
"Population at Each Census","1891","Waterford","Female","Number","50197"
"Population at Each Census","1891","Galway","Both sexes","Number","214712"
"Population at Each Census","1891","Galway","Male","Number","108283"
"Population at Each Census","1891","Galway","Female","Number","106429"
"Population at Each Census","1891","Leitrim","Both sexes","Number","78618"
"Population at Each Census","1891","Leitrim","Male","Number","39715"
"Population at Each Census","1891","Leitrim","Female","Number","38903"
"Population at Each Census","1891","Mayo","Both sexes","Number","219034"
"Population at Each Census","1891","Mayo","Male","Number","107498"
"Population at Each Census","1891","Mayo","Female","Number","111536"
"Population at Each Census","1891","Roscommon","Both sexes","Number","114397"
"Population at Each Census","1891","Roscommon","Male","Number","58000"
"Population at Each Census","1891","Roscommon","Female","Number","56397"
"Population at Each Census","1891","Sligo","Both sexes","Number","98013"
"Population at Each Census","1891","Sligo","Male","Number","48670"
"Population at Each Census","1891","Sligo","Female","Number","49343"
"Population at Each Census","1891","Cavan","Both sexes","Number","111917"
"Population at Each Census","1891","Cavan","Male","Number","56772"
"Population at Each Census","1891","Cavan","Female","Number","55145"
"Population at Each Census","1891","Donegal","Both sexes","Number","185635"
"Population at Each Census","1891","Donegal","Male","Number","91478"
"Population at Each Census","1891","Donegal","Female","Number","94157"
"Population at Each Census","1891","Monaghan","Both sexes","Number","86206"
"Population at Each Census","1891","Monaghan","Male","Number","42727"
"Population at Each Census","1891","Monaghan","Female","Number","43479"
"Population at Each Census","1901","State","Both sexes","Number","3221823"
"Population at Each Census","1901","State","Male","Number","1610085"
"Population at Each Census","1901","State","Female","Number","1611738"
"Population at Each Census","1901","Carlow","Both sexes","Number","37748"
"Population at Each Census","1901","Carlow","Male","Number","19009"
"Population at Each Census","1901","Carlow","Female","Number","18739"
"Population at Each Census","1901","Dublin","Both sexes","Number","448206"
"Population at Each Census","1901","Dublin","Male","Number","211786"
"Population at Each Census","1901","Dublin","Female","Number","236420"
"Population at Each Census","1901","Kildare","Both sexes","Number","63566"
"Population at Each Census","1901","Kildare","Male","Number","34703"
"Population at Each Census","1901","Kildare","Female","Number","28863"
